From,To,Attention,EdgeType
0,2146,0.12471113371103179,Gene-Epi-Gene-Geno
1,2147,0.1774259195258,Gene-Epi-Gene-Geno
2,2148,0.025234336493400004,Gene-Epi-Gene-Geno
3,2149,0.590517914,Gene-Epi-Gene-Geno
4,2150,0.2258074044801,Gene-Epi-Gene-Geno
5,2151,0.562149254,Gene-Epi-Gene-Geno
6,2152,0.06751061950203999,Gene-Epi-Gene-Geno
7,2153,0.1274189970781236,Gene-Epi-Gene-Geno
8,2154,0.387446016,Gene-Epi-Gene-Geno
9,2155,0.17702983770808,Gene-Epi-Gene-Geno
10,2156,0.04454585242144,Gene-Epi-Gene-Geno
11,2157,0.59571292,Gene-Epi-Gene-Geno
12,2158,0.1314762406352614,Gene-Epi-Gene-Geno
13,2159,0.05574360770426,Gene-Epi-Gene-Geno
14,2160,0.1425287325383961,Gene-Epi-Gene-Geno
15,2161,0.498754776,Gene-Epi-Gene-Geno
16,2162,0.06062002740032,Gene-Epi-Gene-Geno
17,2163,0.18756436380156,Gene-Epi-Gene-Geno
18,2164,3.6983534e-27,Gene-Epi-Gene-Geno
19,2165,1.09135154e-09,Gene-Epi-Gene-Geno
20,2166,0.296642651622,Gene-Epi-Gene-Geno
21,2167,0.07586278601600001,Gene-Epi-Gene-Geno
22,2168,0.641492884,Gene-Epi-Gene-Geno
23,2169,0.29779429526,Gene-Epi-Gene-Geno
24,2170,0.48458396,Gene-Epi-Gene-Geno
25,2171,0.2688514847882,Gene-Epi-Gene-Geno
26,2172,0.048019233179248,Gene-Epi-Gene-Geno
27,2173,0.601157014,Gene-Epi-Gene-Geno
28,2174,0.0420469354364757,Gene-Epi-Gene-Geno
29,2175,0.03303466533144721,Gene-Epi-Gene-Geno
30,2176,0.254940164482,Gene-Epi-Gene-Geno
31,2177,0.06890657210003523,Gene-Epi-Gene-Geno
32,2178,0.087717320800063,Gene-Epi-Gene-Geno
33,2179,0.622410632,Gene-Epi-Gene-Geno
34,2180,0.258926730632,Gene-Epi-Gene-Geno
35,2181,0.1959422157365,Gene-Epi-Gene-Geno
36,2182,0.32686249722,Gene-Epi-Gene-Geno
37,2183,0.054731557901999996,Gene-Epi-Gene-Geno
38,2184,0.024233567572074004,Gene-Epi-Gene-Geno
39,2185,0.629189418,Gene-Epi-Gene-Geno
40,2186,0.04844254088199999,Gene-Epi-Gene-Geno
41,2187,0.08442981049400003,Gene-Epi-Gene-Geno
42,2188,0.058332135041068,Gene-Epi-Gene-Geno
43,2189,0.36875065966,Gene-Epi-Gene-Geno
44,2190,0.27726865176,Gene-Epi-Gene-Geno
45,2191,0.628572378,Gene-Epi-Gene-Geno
46,2192,0.3829608392,Gene-Epi-Gene-Geno
47,2193,0.21327372631640001,Gene-Epi-Gene-Geno
48,2194,0.5231976700000001,Gene-Epi-Gene-Geno
49,2195,0.5172466059999999,Gene-Epi-Gene-Geno
50,2196,0.6635267220000001,Gene-Epi-Gene-Geno
51,2197,0.4047042244,Gene-Epi-Gene-Geno
52,2198,0.16241841687074401,Gene-Epi-Gene-Geno
53,2199,0.45332368800000006,Gene-Epi-Gene-Geno
54,2200,0.482413468,Gene-Epi-Gene-Geno
55,2201,0.061122104077348395,Gene-Epi-Gene-Geno
56,2202,0.501169872,Gene-Epi-Gene-Geno
57,2203,0.00530033063942632,Gene-Epi-Gene-Geno
58,2204,0.3563020838,Gene-Epi-Gene-Geno
59,2205,0.564057146,Gene-Epi-Gene-Geno
60,2206,0.007694367602774241,Gene-Epi-Gene-Geno
61,2207,0.6662445800000001,Gene-Epi-Gene-Geno
62,2208,0.24469910994799998,Gene-Epi-Gene-Geno
63,2209,0.594106192,Gene-Epi-Gene-Geno
64,2210,0.66065933,Gene-Epi-Gene-Geno
65,2211,0.035331213152454896,Gene-Epi-Gene-Geno
66,2212,0.06646582678648,Gene-Epi-Gene-Geno
67,2213,0.029392353672467102,Gene-Epi-Gene-Geno
68,2214,0.06277796366000052,Gene-Epi-Gene-Geno
69,2215,5.5231052e-23,Gene-Epi-Gene-Geno
70,2216,0.570538992,Gene-Epi-Gene-Geno
71,2217,3.1039540000000002e-12,Gene-Epi-Gene-Geno
72,2218,0.34532633510000005,Gene-Epi-Gene-Geno
73,2219,0.637084846,Gene-Epi-Gene-Geno
74,2220,0.13544709978854474,Gene-Epi-Gene-Geno
75,2221,0.01430139002852,Gene-Epi-Gene-Geno
76,2222,0.6296447479999999,Gene-Epi-Gene-Geno
77,2223,0.6480670820000001,Gene-Epi-Gene-Geno
78,2224,0.628746004,Gene-Epi-Gene-Geno
79,2225,0.19829194928372001,Gene-Epi-Gene-Geno
80,2226,0.583050918,Gene-Epi-Gene-Geno
81,2227,0.2890693782,Gene-Epi-Gene-Geno
82,2228,0.43135292300000005,Gene-Epi-Gene-Geno
83,2229,0.10010950036009458,Gene-Epi-Gene-Geno
84,2230,0.0378112219823085,Gene-Epi-Gene-Geno
85,2231,0.0489021349013891,Gene-Epi-Gene-Geno
86,2232,0.29819088535000005,Gene-Epi-Gene-Geno
87,2233,0.166252777222078,Gene-Epi-Gene-Geno
88,2234,0.51025246,Gene-Epi-Gene-Geno
89,2235,0.5500775040000001,Gene-Epi-Gene-Geno
90,2236,0.621864316,Gene-Epi-Gene-Geno
91,2237,0.622335574,Gene-Epi-Gene-Geno
92,2238,0.611611706,Gene-Epi-Gene-Geno
93,2239,0.47938856,Gene-Epi-Gene-Geno
94,2240,0.11637993266058791,Gene-Epi-Gene-Geno
95,2241,0.258686337798,Gene-Epi-Gene-Geno
96,2242,0.564877462,Gene-Epi-Gene-Geno
97,2243,0.00010438436000000006,Gene-Epi-Gene-Geno
98,2244,0.12395385763798501,Gene-Epi-Gene-Geno
99,2245,0.001915391001708643,Gene-Epi-Gene-Geno
100,2246,0.09477590570107215,Gene-Epi-Gene-Geno
101,2247,0.0029213464098501347,Gene-Epi-Gene-Geno
102,2248,0.0554125208319,Gene-Epi-Gene-Geno
103,2249,0.150885923185862,Gene-Epi-Gene-Geno
104,2250,0.06955141867200056,Gene-Epi-Gene-Geno
105,2251,0.030943287123003822,Gene-Epi-Gene-Geno
106,2252,0.03398361927016091,Gene-Epi-Gene-Geno
107,2253,0.09197091738001542,Gene-Epi-Gene-Geno
108,2254,0.006787116204147172,Gene-Epi-Gene-Geno
109,2255,0.030451332358337878,Gene-Epi-Gene-Geno
110,2256,0.10643276475413126,Gene-Epi-Gene-Geno
111,2257,0.08003342287400077,Gene-Epi-Gene-Geno
112,2258,0.187583956229314,Gene-Epi-Gene-Geno
113,2259,0.26130170224800003,Gene-Epi-Gene-Geno
114,2260,3.7639896e-05,Gene-Epi-Gene-Geno
115,2261,0.00021836686000003828,Gene-Epi-Gene-Geno
116,2262,9.156279999999999e-07,Gene-Epi-Gene-Geno
117,2263,0.601067344,Gene-Epi-Gene-Geno
118,2264,1.26393306e-06,Gene-Epi-Gene-Geno
119,2265,0.0011311720000599804,Gene-Epi-Gene-Geno
120,2266,0.022113437101400003,Gene-Epi-Gene-Geno
121,2267,0.48604007199999993,Gene-Epi-Gene-Geno
122,2268,0.647411572,Gene-Epi-Gene-Geno
123,2269,0.013127128106684,Gene-Epi-Gene-Geno
124,2270,0.6184174,Gene-Epi-Gene-Geno
125,2271,0.00855311611751032,Gene-Epi-Gene-Geno
126,2272,0.03183098374340006,Gene-Epi-Gene-Geno
127,2273,0.0992980852360035,Gene-Epi-Gene-Geno
128,2274,0.046047988962227435,Gene-Epi-Gene-Geno
129,2275,0.03886723810025394,Gene-Epi-Gene-Geno
130,2276,0.574088734,Gene-Epi-Gene-Geno
131,2277,0.0019541898025192844,Gene-Epi-Gene-Geno
132,2278,0.04201418235444516,Gene-Epi-Gene-Geno
133,2279,0.6435409599999999,Gene-Epi-Gene-Geno
