src,dest,EdgeType
ABL1-Epi,ABL1-Geno,Gene-Epi-Gene-Geno
ABL2-Epi,ABL2-Geno,Gene-Epi-Gene-Geno
ACAA1-Epi,ACAA1-Geno,Gene-Epi-Gene-Geno
ACACA-Epi,ACACA-Geno,Gene-Epi-Gene-Geno
ACACB-Epi,ACACB-Geno,Gene-Epi-Gene-Geno
ACADL-Epi,ACADL-Geno,Gene-Epi-Gene-Geno
ACADM-Epi,ACADM-Geno,Gene-Epi-Gene-Geno
ACOX1-Epi,ACOX1-Geno,Gene-Epi-Gene-Geno
ACOX2-Epi,ACOX2-Geno,Gene-Epi-Gene-Geno
ACOX3-Epi,ACOX3-Geno,Gene-Epi-Gene-Geno
ACSBG1-Epi,ACSBG1-Geno,Gene-Epi-Gene-Geno
ACSBG2-Epi,ACSBG2-Geno,Gene-Epi-Gene-Geno
ACSL1-Epi,ACSL1-Geno,Gene-Epi-Gene-Geno
ACSL3-Epi,ACSL3-Geno,Gene-Epi-Gene-Geno
ACSL4-Epi,ACSL4-Geno,Gene-Epi-Gene-Geno
ACSL5-Epi,ACSL5-Geno,Gene-Epi-Gene-Geno
ACSL6-Epi,ACSL6-Geno,Gene-Epi-Gene-Geno
ACTA2-Epi,ACTA2-Geno,Gene-Epi-Gene-Geno
ACTB-Epi,ACTB-Geno,Gene-Epi-Gene-Geno
ACTG1-Epi,ACTG1-Geno,Gene-Epi-Gene-Geno
ACVR1-Epi,ACVR1-Geno,Gene-Epi-Gene-Geno
ACVR1B-Epi,ACVR1B-Geno,Gene-Epi-Gene-Geno
ACVR1C-Epi,ACVR1C-Geno,Gene-Epi-Gene-Geno
ACVR2A-Epi,ACVR2A-Geno,Gene-Epi-Gene-Geno
ACVR2B-Epi,ACVR2B-Geno,Gene-Epi-Gene-Geno
ADAM17-Epi,ADAM17-Geno,Gene-Epi-Gene-Geno
ADCY1-Epi,ADCY1-Geno,Gene-Epi-Gene-Geno
ADCY10-Epi,ADCY10-Geno,Gene-Epi-Gene-Geno
ADCY2-Epi,ADCY2-Geno,Gene-Epi-Gene-Geno
ADCY3-Epi,ADCY3-Geno,Gene-Epi-Gene-Geno
ADCY4-Epi,ADCY4-Geno,Gene-Epi-Gene-Geno
ADCY5-Epi,ADCY5-Geno,Gene-Epi-Gene-Geno
ADCY6-Epi,ADCY6-Geno,Gene-Epi-Gene-Geno
ADCY7-Epi,ADCY7-Geno,Gene-Epi-Gene-Geno
ADCY8-Epi,ADCY8-Geno,Gene-Epi-Gene-Geno
ADCY9-Epi,ADCY9-Geno,Gene-Epi-Gene-Geno
ADCYAP1-Epi,ADCYAP1-Geno,Gene-Epi-Gene-Geno
ADCYAP1R1-Epi,ADCYAP1R1-Geno,Gene-Epi-Gene-Geno
ADGRB1-Epi,ADGRB1-Geno,Gene-Epi-Gene-Geno
ADIPOQ-Epi,ADIPOQ-Geno,Gene-Epi-Gene-Geno
ADIPOR1-Epi,ADIPOR1-Geno,Gene-Epi-Gene-Geno
ADIPOR2-Epi,ADIPOR2-Geno,Gene-Epi-Gene-Geno
ADORA1-Epi,ADORA1-Geno,Gene-Epi-Gene-Geno
ADORA2A-Epi,ADORA2A-Geno,Gene-Epi-Gene-Geno
ADORA2B-Epi,ADORA2B-Geno,Gene-Epi-Gene-Geno
ADORA3-Epi,ADORA3-Geno,Gene-Epi-Gene-Geno
ADRA1A-Epi,ADRA1A-Geno,Gene-Epi-Gene-Geno
ADRA1B-Epi,ADRA1B-Geno,Gene-Epi-Gene-Geno
ADRA1D-Epi,ADRA1D-Geno,Gene-Epi-Gene-Geno
ADRA2A-Epi,ADRA2A-Geno,Gene-Epi-Gene-Geno
ADRA2B-Epi,ADRA2B-Geno,Gene-Epi-Gene-Geno
ADRA2C-Epi,ADRA2C-Geno,Gene-Epi-Gene-Geno
ADRB1-Epi,ADRB1-Geno,Gene-Epi-Gene-Geno
ADRB2-Epi,ADRB2-Geno,Gene-Epi-Gene-Geno
ADRB3-Epi,ADRB3-Geno,Gene-Epi-Gene-Geno
AFP-Epi,AFP-Geno,Gene-Epi-Gene-Geno
AGAP2-Epi,AGAP2-Geno,Gene-Epi-Gene-Geno
AGER-Epi,AGER-Geno,Gene-Epi-Gene-Geno
AGRP-Epi,AGRP-Geno,Gene-Epi-Gene-Geno
AGT-Epi,AGT-Geno,Gene-Epi-Gene-Geno
AGTR1-Epi,AGTR1-Geno,Gene-Epi-Gene-Geno
AIFM2-Epi,AIFM2-Geno,Gene-Epi-Gene-Geno
AIM2-Epi,AIM2-Geno,Gene-Epi-Gene-Geno
AJUBA-Epi,AJUBA-Geno,Gene-Epi-Gene-Geno
AKT1-Epi,AKT1-Geno,Gene-Epi-Gene-Geno
AKT1S1-Epi,AKT1S1-Geno,Gene-Epi-Gene-Geno
AKT2-Epi,AKT2-Geno,Gene-Epi-Gene-Geno
AKT3-Epi,AKT3-Geno,Gene-Epi-Gene-Geno
ALDOA-Epi,ALDOA-Geno,Gene-Epi-Gene-Geno
ALDOB-Epi,ALDOB-Geno,Gene-Epi-Gene-Geno
ALDOC-Epi,ALDOC-Geno,Gene-Epi-Gene-Geno
AMH-Epi,AMH-Geno,Gene-Epi-Gene-Geno
AMHR2-Epi,AMHR2-Geno,Gene-Epi-Gene-Geno
AMOT-Epi,AMOT-Geno,Gene-Epi-Gene-Geno
ANAPC5-Epi,ANAPC5-Geno,Gene-Epi-Gene-Geno
ANGPT1-Epi,ANGPT1-Geno,Gene-Epi-Gene-Geno
ANGPT2-Epi,ANGPT2-Geno,Gene-Epi-Gene-Geno
ANGPT4-Epi,ANGPT4-Geno,Gene-Epi-Gene-Geno
ANGPTL4-Epi,ANGPTL4-Geno,Gene-Epi-Gene-Geno
AOX1-Epi,AOX1-Geno,Gene-Epi-Gene-Geno
APAF1-Epi,APAF1-Geno,Gene-Epi-Gene-Geno
APBB1IP-Epi,APBB1IP-Geno,Gene-Epi-Gene-Geno
APC-Epi,APC-Geno,Gene-Epi-Gene-Geno
APC2-Epi,APC2-Geno,Gene-Epi-Gene-Geno
APH1A-Epi,APH1A-Geno,Gene-Epi-Gene-Geno
APH1B-Epi,APH1B-Geno,Gene-Epi-Gene-Geno
APLN-Epi,APLN-Geno,Gene-Epi-Gene-Geno
APLNR-Epi,APLNR-Geno,Gene-Epi-Gene-Geno
APOA1-Epi,APOA1-Geno,Gene-Epi-Gene-Geno
APOA2-Epi,APOA2-Geno,Gene-Epi-Gene-Geno
APOA5-Epi,APOA5-Geno,Gene-Epi-Gene-Geno
APOC3-Epi,APOC3-Geno,Gene-Epi-Gene-Geno
AQP7-Epi,AQP7-Geno,Gene-Epi-Gene-Geno
ARAF-Epi,ARAF-Geno,Gene-Epi-Gene-Geno
ARAP3-Epi,ARAP3-Geno,Gene-Epi-Gene-Geno
AREG-Epi,AREG-Geno,Gene-Epi-Gene-Geno
ARF1-Epi,ARF1-Geno,Gene-Epi-Gene-Geno
ARF6-Epi,ARF6-Geno,Gene-Epi-Gene-Geno
ARHGDIA-Epi,ARHGDIA-Geno,Gene-Epi-Gene-Geno
ARHGDIB-Epi,ARHGDIB-Geno,Gene-Epi-Gene-Geno
ARHGDIG-Epi,ARHGDIG-Geno,Gene-Epi-Gene-Geno
ARHGEF12-Epi,ARHGEF12-Geno,Gene-Epi-Gene-Geno
ARNT-Epi,ARNT-Geno,Gene-Epi-Gene-Geno
ARRB1-Epi,ARRB1-Geno,Gene-Epi-Gene-Geno
ARRB2-Epi,ARRB2-Geno,Gene-Epi-Gene-Geno
ASPH-Epi,ASPH-Geno,Gene-Epi-Gene-Geno
ATF2-Epi,ATF2-Geno,Gene-Epi-Gene-Geno
ATF4-Epi,ATF4-Geno,Gene-Epi-Gene-Geno
ATF6B-Epi,ATF6B-Geno,Gene-Epi-Gene-Geno
ATG12-Epi,ATG12-Geno,Gene-Epi-Gene-Geno
ATG16L1-Epi,ATG16L1-Geno,Gene-Epi-Gene-Geno
ATG5-Epi,ATG5-Geno,Gene-Epi-Gene-Geno
ATM-Epi,ATM-Geno,Gene-Epi-Gene-Geno
ATP1A1-Epi,ATP1A1-Geno,Gene-Epi-Gene-Geno
ATP1A2-Epi,ATP1A2-Geno,Gene-Epi-Gene-Geno
ATP1A3-Epi,ATP1A3-Geno,Gene-Epi-Gene-Geno
ATP1A4-Epi,ATP1A4-Geno,Gene-Epi-Gene-Geno
ATP1B1-Epi,ATP1B1-Geno,Gene-Epi-Gene-Geno
ATP1B2-Epi,ATP1B2-Geno,Gene-Epi-Gene-Geno
ATP1B3-Epi,ATP1B3-Geno,Gene-Epi-Gene-Geno
ATP1B4-Epi,ATP1B4-Geno,Gene-Epi-Gene-Geno
ATP2A1-Epi,ATP2A1-Geno,Gene-Epi-Gene-Geno
ATP2A2-Epi,ATP2A2-Geno,Gene-Epi-Gene-Geno
ATP2A3-Epi,ATP2A3-Geno,Gene-Epi-Gene-Geno
ATP2B1-Epi,ATP2B1-Geno,Gene-Epi-Gene-Geno
ATP2B2-Epi,ATP2B2-Geno,Gene-Epi-Gene-Geno
ATP2B3-Epi,ATP2B3-Geno,Gene-Epi-Gene-Geno
ATP2B4-Epi,ATP2B4-Geno,Gene-Epi-Gene-Geno
ATP6V1A-Epi,ATP6V1A-Geno,Gene-Epi-Gene-Geno
ATP6V1B1-Epi,ATP6V1B1-Geno,Gene-Epi-Gene-Geno
ATP6V1B2-Epi,ATP6V1B2-Geno,Gene-Epi-Gene-Geno
ATP6V1C1-Epi,ATP6V1C1-Geno,Gene-Epi-Gene-Geno
ATP6V1C2-Epi,ATP6V1C2-Geno,Gene-Epi-Gene-Geno
ATP6V1D-Epi,ATP6V1D-Geno,Gene-Epi-Gene-Geno
ATP6V1E1-Epi,ATP6V1E1-Geno,Gene-Epi-Gene-Geno
ATP6V1E2-Epi,ATP6V1E2-Geno,Gene-Epi-Gene-Geno
ATP6V1F-Epi,ATP6V1F-Geno,Gene-Epi-Gene-Geno
ATP6V1G1-Epi,ATP6V1G1-Geno,Gene-Epi-Gene-Geno
ATP6V1G2-Epi,ATP6V1G2-Geno,Gene-Epi-Gene-Geno
ATP6V1G3-Epi,ATP6V1G3-Geno,Gene-Epi-Gene-Geno
ATP6V1H-Epi,ATP6V1H-Geno,Gene-Epi-Gene-Geno
ATR-Epi,ATR-Geno,Gene-Epi-Gene-Geno
ATXN1-Epi,ATXN1-Geno,Gene-Epi-Gene-Geno
ATXN1L-Epi,ATXN1L-Geno,Gene-Epi-Gene-Geno
AVP-Epi,AVP-Geno,Gene-Epi-Gene-Geno
AVPR1A-Epi,AVPR1A-Geno,Gene-Epi-Gene-Geno
