src,dest,EdgeType
6381,7664,Gene-Prot-Gene-Prot
6381,7665,Gene-Prot-Gene-Prot
6381,7666,Gene-Prot-Gene-Prot
6381,8275,Gene-Prot-Gene-Prot
6382,7664,Gene-Prot-Gene-Prot
6382,7665,Gene-Prot-Gene-Prot
6382,7666,Gene-Prot-Gene-Prot
6382,8275,Gene-Prot-Gene-Prot
6383,6386,Gene-Prot-Gene-Prot
6383,6546,Gene-Prot-Gene-Prot
6383,7575,Gene-Prot-Gene-Prot
6383,7577,Gene-Prot-Gene-Prot
6383,7578,Gene-Prot-Gene-Prot
6383,7579,Gene-Prot-Gene-Prot
6383,7580,Gene-Prot-Gene-Prot
6383,7582,Gene-Prot-Gene-Prot
6383,7686,Gene-Prot-Gene-Prot
6383,8217,Gene-Prot-Gene-Prot
6383,8218,Gene-Prot-Gene-Prot
6383,8219,Gene-Prot-Gene-Prot
6383,8221,Gene-Prot-Gene-Prot
6383,8224,Gene-Prot-Gene-Prot
6384,8218,Gene-Prot-Gene-Prot
6384,8219,Gene-Prot-Gene-Prot
6385,8218,Gene-Prot-Gene-Prot
6385,8219,Gene-Prot-Gene-Prot
6386,8218,Gene-Prot-Gene-Prot
6386,8219,Gene-Prot-Gene-Prot
6387,8218,Gene-Prot-Gene-Prot
6387,8219,Gene-Prot-Gene-Prot
6388,7717,Gene-Prot-Gene-Prot
6388,7718,Gene-Prot-Gene-Prot
6388,7719,Gene-Prot-Gene-Prot
6388,7720,Gene-Prot-Gene-Prot
6389,7961,Gene-Prot-Gene-Prot
6389,7962,Gene-Prot-Gene-Prot
6389,7963,Gene-Prot-Gene-Prot
6391,7961,Gene-Prot-Gene-Prot
6391,7962,Gene-Prot-Gene-Prot
6391,7963,Gene-Prot-Gene-Prot
6392,7961,Gene-Prot-Gene-Prot
6392,7962,Gene-Prot-Gene-Prot
6392,7963,Gene-Prot-Gene-Prot
6393,7961,Gene-Prot-Gene-Prot
6393,7962,Gene-Prot-Gene-Prot
6393,7963,Gene-Prot-Gene-Prot
6394,7961,Gene-Prot-Gene-Prot
6394,7962,Gene-Prot-Gene-Prot
6394,7963,Gene-Prot-Gene-Prot
6395,7961,Gene-Prot-Gene-Prot
6395,7962,Gene-Prot-Gene-Prot
6395,7963,Gene-Prot-Gene-Prot
6396,7961,Gene-Prot-Gene-Prot
6396,7962,Gene-Prot-Gene-Prot
6396,7963,Gene-Prot-Gene-Prot
6397,7961,Gene-Prot-Gene-Prot
6397,7962,Gene-Prot-Gene-Prot
6397,7963,Gene-Prot-Gene-Prot
6398,7961,Gene-Prot-Gene-Prot
6398,7962,Gene-Prot-Gene-Prot
6398,7963,Gene-Prot-Gene-Prot
6399,6400,Gene-Prot-Gene-Prot
6399,6406,Gene-Prot-Gene-Prot
6399,6415,Gene-Prot-Gene-Prot
6399,6890,Gene-Prot-Gene-Prot
6399,6892,Gene-Prot-Gene-Prot
6399,7051,Gene-Prot-Gene-Prot
6399,7096,Gene-Prot-Gene-Prot
6399,7102,Gene-Prot-Gene-Prot
6399,7137,Gene-Prot-Gene-Prot
6399,7236,Gene-Prot-Gene-Prot
6399,7238,Gene-Prot-Gene-Prot
6399,7505,Gene-Prot-Gene-Prot
6399,7599,Gene-Prot-Gene-Prot
6399,7727,Gene-Prot-Gene-Prot
6399,7998,Gene-Prot-Gene-Prot
6399,8409,Gene-Prot-Gene-Prot
6399,8438,Gene-Prot-Gene-Prot
6400,7114,Gene-Prot-Gene-Prot
6402,6403,Gene-Prot-Gene-Prot
